day,home,away,stadium,crowd
토,KIA,롯데,광주,"12,159"
토,두산,SSG,잠실,"6,659"
토,KT,삼성,수원,"7,963"
토,한화,키움,대전,"4,331"
일,NC,LG,창원,"7,327"
일,KIA,롯데,광주,"11,374"
일,두산,SSG,잠실,"6,973"
일,KT,삼성,수원,"7,720"
일,한화,키움,대전,"5,274"
화,LG,삼성,잠실,"9,671"
화,KT,키움,수원,"3,745"
수,NC,한화,창원,"2,663"
수,롯데,두산,사직,"3,618"
수,KIA,SSG,광주,"4,330"
수,LG,삼성,잠실,"9,180"
수,KT,키움,수원,"3,768"
목,롯데,KT,사직,"6,316"
목,SSG,LG,문학,"14,662"
목,KIA,NC,광주,"4,927"
목,한화,삼성,대전,"3,023"
목,두산,키움,잠실,"3,517"
금,롯데,KT,사직,"4,607"
금,KIA,NC,광주,"5,438"
금,한화,삼성,대전,"3,213"
토,롯데,한화,사직,"7,376"
토,KT,KIA,수원,"19,194"
토,LG,두산,잠실,"17,504"
토,키움,SSG,고척,"7,439"
일,롯데,한화,사직,"7,754"
일,KT,KIA,수원,"16,158"
일,삼성,NC,대구,"11,429"
일,LG,두산,잠실,"14,441"
일,키움,SSG,고척,"7,183"
화,키움,KIA,고척,"6,637"
화,두산,KT,잠실,"3,059"
화,한화,LG,대전,"2,107"
화,NC,롯데,창원,"9,211"
화,SSG,삼성,문학,"8,096"
수,키움,KIA,고척,"8,175"
수,두산,KT,잠실,"2,827"
수,한화,LG,대전,"2,608"
수,NC,롯데,창원,"7,479"
수,SSG,삼성,문학,"8,345"
목,LG,KIA,잠실,"14,262"
목,한화,두산,대전,"2,315"
목,KT,SSG,수원,"5,103"
목,롯데,삼성,사직,"6,844"
목,NC,키움,창원,"2,712"
금,LG,KIA,잠실,"18,154"
금,한화,두산,대전,"3,226"
금,KT,SSG,수원,"6,149"
금,롯데,삼성,사직,"7,483"
금,NC,키움,창원,"4,856"
토,삼성,한화,대구,"13,729"
토,NC,KT,창원,"8,977"
토,SSG,롯데,문학,"21,043"
토,KIA,두산,광주,"11,053"
토,LG,키움,잠실,"15,250"
일,삼성,한화,대구,"10,236"
일,NC,KT,창원,"5,110"
일,SSG,롯데,문학,"20,604"
일,KIA,두산,광주,"8,188"
일,LG,키움,잠실,"12,917"
화,키움,롯데,고척,"4,381"
수,한화,KIA,대전,"3,513"
수,키움,롯데,고척,"6,685"
수,LG,NC,잠실,"8,553"
수,KT,두산,수원,"3,798"
수,삼성,SSG,대구,"4,314"
목,키움,한화,고척,"2,799"
목,KT,LG,수원,"6,888"
목,두산,롯데,잠실,"6,219"
목,SSG,NC,문학,"7,804"
목,KIA,삼성,광주,"5,234"
금,키움,한화,고척,"3,156"
금,KT,LG,수원,"10,128"
금,두산,롯데,잠실,"8,100"
금,SSG,NC,문학,"12,392"
금,KIA,삼성,광주,"6,274"
토,KIA,KT,광주,"10,639"
토,한화,NC,대전,"5,547"
토,두산,삼성,잠실,"13,113"
토,SSG,키움,문학,"20,347"
일,KIA,KT,광주,"7,056"
일,롯데,LG,사직,"6,286"
일,한화,NC,대전,"3,743"
화,KT,한화,수원,"3,459"
화,롯데,KIA,울산,"5,060"
화,NC,두산,창원,"4,331"
화,LG,SSG,잠실,"12,917"
화,삼성,키움,대구,"3,890"
수,KT,한화,수원,"4,364"
수,롯데,KIA,울산,"7,380"
수,NC,두산,창원,"8,070"
수,LG,SSG,잠실,"15,185"
수,삼성,키움,대구,"5,093"
목,두산,한화,잠실,"4,757"
목,SSG,KIA,문학,"16,148"
목,키움,LG,고척,"6,505"
목,삼성,롯데,대구,"13,125"
목,KT,NC,수원,"3,651"
금,두산,한화,잠실,"5,691"
금,SSG,KIA,문학,"20,951"
금,키움,LG,고척,"10,074"
금,삼성,롯데,대구,"12,634"
금,KT,NC,수원,"5,966"
토,두산,KIA,잠실,"13,433"
토,키움,KT,고척,"4,017"
토,삼성,LG,대구,"11,995"
토,롯데,NC,사직,"11,091"
토,한화,SSG,대전,"5,236"
일,두산,KIA,잠실,"20,681"
일,키움,KT,고척,"5,009"
일,삼성,LG,대구,"15,446"
일,롯데,NC,사직,"12,343"
일,한화,SSG,대전,"7,863"
화,한화,KT,대전,"2,723"
화,두산,LG,잠실,"6,803"
화,롯데,SSG,사직,"4,570"
화,NC,삼성,창원,"3,780"
화,KIA,키움,광주,"3,507"
수,한화,KT,대전,"2,777"
수,두산,LG,잠실,"7,098"
수,롯데,SSG,사직,"4,179"
수,NC,삼성,창원,"4,084"
수,KIA,키움,광주,"5,175"
목,KIA,한화,광주,"5,158"
목,LG,KT,잠실,"9,614"
목,삼성,두산,대구,"5,374"
목,NC,SSG,창원,"3,851"
목,롯데,키움,사직,"5,133"
금,KIA,한화,광주,"8,642"
금,삼성,두산,대구,"6,576"
금,NC,SSG,창원,"5,680"
금,롯데,키움,사직,"8,567"
토,LG,한화,잠실,"20,104"
토,삼성,KIA,대구,"15,130"
토,KT,롯데,수원,"14,944"
토,키움,NC,고척,"5,827"
토,SSG,두산,문학,"20,871"
일,LG,한화,잠실,"16,798"
일,삼성,KIA,대구,"12,340"
일,KT,롯데,수원,"16,612"
일,키움,NC,고척,"4,128"
일,SSG,두산,문학,"17,684"
화,SSG,KT,문학,"10,066"
화,KIA,LG,광주,"5,992"
화,한화,롯데,대전,"5,515"
화,두산,NC,잠실,"7,386"
화,키움,삼성,고척,"4,851"
수,SSG,KT,문학,"10,359"
수,KIA,LG,광주,"6,633"
수,한화,롯데,대전,"4,291"
수,두산,NC,잠실,"4,683"
수,키움,삼성,고척,"5,407"
목,SSG,한화,문학,"11,471"
목,NC,KIA,창원,"7,340"
목,삼성,KT,대구,"6,006"
목,LG,롯데,잠실,"18,034"
목,키움,두산,고척,"3,063"
금,SSG,한화,문학,"16,353"
