day,home,away,stadium,crowd
목,롯데,한화,사직,7653
목,LG,KIA,잠실,14590
목,NC,두산,창원,4659
목,KT,삼성,수원,4703
목,SSG,키움,문학,12969
금,롯데,KIA,사직,11010
금,한화,KT,대전,4010
금,NC,LG,창원,5924
금,두산,SSG,잠실,6223
금,키움,삼성,고척,4776
토,롯데,KIA,사직,15526
토,한화,KT,대전,5234
토,NC,LG,창원,7934
토,키움,삼성,고척,7057
일,롯데,KIA,사직,10881
일,한화,KT,대전,3420
일,NC,LG,창원,4034
일,두산,SSG,잠실,6216
일,키움,삼성,고척,6897
화,삼성,한화,포항,5431
화,SSG,LG,문학,11063
화,두산,롯데,잠실,5857
화,KIA,NC,광주,5994
화,KT,키움,수원,3631
수,삼성,한화,포항,6258
수,SSG,LG,문학,10070
수,두산,롯데,잠실,5115
수,KIA,NC,광주,5868
수,KT,키움,수원,3126
목,삼성,한화,포항,7202
목,SSG,LG,문학,15059
목,두산,롯데,잠실,9820
목,KIA,NC,광주,6166
목,KT,키움,수원,4828
금,LG,KT,잠실,9114
금,삼성,롯데,대구,10486
금,한화,두산,대전,3614
금,KIA,SSG,광주,7755
금,NC,키움,창원,4796
토,LG,KT,잠실,10589
토,삼성,롯데,대구,18789
토,한화,두산,대전,5838
토,KIA,SSG,광주,10836
토,NC,키움,창원,7150
일,삼성,롯데,대구,10854
일,KIA,SSG,광주,6408
화,한화,KIA,대전,5151
화,롯데,LG,사직,7277
화,키움,SSG,고척,6941
수,한화,KIA,대전,5238
수,NC,KT,창원,4569
수,롯데,LG,사직,6829
수,키움,SSG,고척,7573
수,두산,삼성,잠실,6125
목,한화,KIA,대전,5586
목,NC,KT,창원,3210
목,롯데,LG,사직,5865
목,키움,SSG,고척,6064
목,두산,삼성,잠실,7429
금,KT,한화,수원,6114
금,롯데,NC,사직,6243
금,KIA,두산,광주,7903
금,SSG,삼성,문학,11962
금,LG,키움,잠실,10811
토,KT,한화,수원,9636
토,롯데,NC,사직,9584
토,KIA,두산,광주,8652
토,SSG,삼성,문학,18640
토,LG,키움,잠실,11357
일,KT,한화,수원,8969
일,롯데,NC,사직,6360
일,KIA,두산,광주,6509
일,SSG,삼성,문학,15958
일,LG,키움,잠실,10396
수,삼성,KIA,대구,7722
수,SSG,KT,문학,6523
수,키움,롯데,고척,4352
수,두산,NC,잠실,2672
목,SSG,KT,문학,6603
목,키움,롯데,고척,4515
목,두산,NC,잠실,2005
금,삼성,KIA,대구,10291
금,SSG,KT,문학,10093
금,한화,LG,대전,4400
금,키움,롯데,고척,4710
금,두산,NC,잠실,3679
토,KIA,롯데,광주,12159
토,두산,SSG,잠실,6659
토,KT,삼성,수원,7963
토,한화,키움,대전,4331
일,NC,LG,창원,7327
일,KIA,롯데,광주,11374
일,두산,SSG,잠실,6973
일,KT,삼성,수원,7720
일,한화,키움,대전,5274
화,LG,삼성,잠실,9671
화,KT,키움,수원,3745
수,NC,한화,창원,2663
수,롯데,두산,사직,3618
수,KIA,SSG,광주,4330
수,LG,삼성,잠실,9180
수,KT,키움,수원,3768
목,롯데,KT,사직,6316
목,SSG,LG,문학,14662
목,KIA,NC,광주,4927
목,한화,삼성,대전,3023
목,두산,키움,잠실,3517
금,롯데,KT,사직,4607
금,KIA,NC,광주,5438
금,한화,삼성,대전,3213
토,롯데,한화,사직,7376
토,KT,KIA,수원,19194
토,LG,두산,잠실,17504
토,키움,SSG,고척,7439
일,롯데,한화,사직,7754
일,KT,KIA,수원,16158
일,삼성,NC,대구,11429
일,LG,두산,잠실,14441
일,키움,SSG,고척,7183
화,키움,KIA,고척,6637
화,두산,KT,잠실,3059
화,한화,LG,대전,2107
화,NC,롯데,창원,9211
화,SSG,삼성,문학,8096
수,키움,KIA,고척,8175
수,두산,KT,잠실,2827
수,한화,LG,대전,2608
수,NC,롯데,창원,7479
수,SSG,삼성,문학,8345
목,LG,KIA,잠실,14262
목,한화,두산,대전,2315
목,KT,SSG,수원,5103
목,롯데,삼성,사직,6844
목,NC,키움,창원,2712
금,LG,KIA,잠실,18154
금,한화,두산,대전,3226
금,KT,SSG,수원,6149
금,롯데,삼성,사직,7483
금,NC,키움,창원,4856
토,삼성,한화,대구,13729
토,NC,KT,창원,8977
토,SSG,롯데,문학,21043
토,KIA,두산,광주,11053
토,LG,키움,잠실,15250
일,삼성,한화,대구,10236
일,NC,KT,창원,5110
일,SSG,롯데,문학,20604
일,KIA,두산,광주,8188
일,LG,키움,잠실,12917
화,키움,롯데,고척,4381
수,한화,KIA,대전,3513
수,키움,롯데,고척,6685
수,LG,NC,잠실,8553
수,KT,두산,수원,3798
수,삼성,SSG,대구,4314
목,키움,한화,고척,2799
목,KT,LG,수원,6888
목,두산,롯데,잠실,6219
목,SSG,NC,문학,7804
목,KIA,삼성,광주,5234
금,키움,한화,고척,3156
금,KT,LG,수원,10128
금,두산,롯데,잠실,8100
금,SSG,NC,문학,12392
금,KIA,삼성,광주,6274
토,KIA,KT,광주,10639
토,한화,NC,대전,5547
토,두산,삼성,잠실,13113
토,SSG,키움,문학,20347
일,KIA,KT,광주,7056
일,롯데,LG,사직,6286
일,한화,NC,대전,3743
화,KT,한화,수원,3459
화,롯데,KIA,울산,5060
화,NC,두산,창원,4331
화,LG,SSG,잠실,12917
화,삼성,키움,대구,3890
수,KT,한화,수원,4364
수,롯데,KIA,울산,7380
수,NC,두산,창원,8070
수,LG,SSG,잠실,15185
수,삼성,키움,대구,5093
목,두산,한화,잠실,4757
목,SSG,KIA,문학,16148
목,키움,LG,고척,6505
목,삼성,롯데,대구,13125
목,KT,NC,수원,3651
금,두산,한화,잠실,5691
금,SSG,KIA,문학,20951
금,키움,LG,고척,10074
금,삼성,롯데,대구,12634
금,KT,NC,수원,5966
토,두산,KIA,잠실,13433
토,키움,KT,고척,4017
토,삼성,LG,대구,11995
토,롯데,NC,사직,11091
토,한화,SSG,대전,5236
일,두산,KIA,잠실,20681
일,키움,KT,고척,5009
일,삼성,LG,대구,15446
일,롯데,NC,사직,12343
일,한화,SSG,대전,7863
화,한화,KT,대전,2723
화,두산,LG,잠실,6803
화,롯데,SSG,사직,4570
화,NC,삼성,창원,3780
화,KIA,키움,광주,3507
수,한화,KT,대전,2777
수,두산,LG,잠실,7098
수,롯데,SSG,사직,4179
수,NC,삼성,창원,4084
수,KIA,키움,광주,5175
목,KIA,한화,광주,5158
목,LG,KT,잠실,9614
목,삼성,두산,대구,5374
목,NC,SSG,창원,3851
목,롯데,키움,사직,5133
금,KIA,한화,광주,8642
금,삼성,두산,대구,6576
금,NC,SSG,창원,5680
금,롯데,키움,사직,8567
토,LG,한화,잠실,20104
토,삼성,KIA,대구,15130
토,KT,롯데,수원,14944
토,키움,NC,고척,5827
토,SSG,두산,문학,20871
일,LG,한화,잠실,16798
일,삼성,KIA,대구,12340
일,KT,롯데,수원,16612
일,키움,NC,고척,4128
일,SSG,두산,문학,17684
화,SSG,KT,문학,10066
화,KIA,LG,광주,5992
화,한화,롯데,대전,5515
화,두산,NC,잠실,7386
화,키움,삼성,고척,4851
수,SSG,KT,문학,10359
수,KIA,LG,광주,6633
수,한화,롯데,대전,4291
수,두산,NC,잠실,4683
수,키움,삼성,고척,5407
목,SSG,한화,문학,11471
목,NC,KIA,창원,7340
목,삼성,KT,대구,6006
목,LG,롯데,잠실,18034
목,키움,두산,고척,3063
금,SSG,한화,문학,16353
금,NC,KIA,창원,9871
금,삼성,KT,대구,8056
금,LG,롯데,잠실,19377
금,키움,두산,고척,4040
토,LG,한화,잠실,16775
토,NC,KIA,창원,12938
토,키움,롯데,고척,9442
토,SSG,두산,문학,19253
일,두산,한화,잠실,9590
일,삼성,KIA,대구,17730
일,NC,KT,창원,5148
일,SSG,LG,문학,23000
화,한화,LG,대전,3110
화,KT,두산,수원,4196
화,NC,키움,창원,2571
수,한화,LG,대전,2845
수,KT,두산,수원,5220
수,NC,삼성,창원,5164
목,LG,KT,잠실,10859
목,KIA,롯데,광주,6294
목,삼성,NC,대구,7703
목,한화,두산,대전,2018
목,SSG,키움,문학,13358
금,한화,롯데,대전,4025
금,LG,NC,잠실,11076
금,삼성,두산,대구,9081
금,SSG,키움,문학,20422
토,LG,NC,잠실,17282
토,삼성,두산,대구,15964
토,KIA,SSG,광주,13341
일,한화,KIA,대전,11336
일,LG,NC,잠실,15711
일,롯데,두산,사직,14088
화,LG,KIA,잠실,13385
화,KT,삼성,수원,5451
수,KIA,LG,광주,5487
수,NC,롯데,창원,11326
수,두산,SSG,잠실,9474
수,KT,삼성,수원,7226
목,KIA,LG,광주,5209
목,NC,SSG,창원,6064
목,두산,삼성,잠실,7350
목,한화,키움,대전,9802
금,KIA,KT,광주,15175
금,NC,LG,창원,6257
금,두산,삼성,잠실,11681
토,NC,한화,창원,12462
토,KIA,KT,광주,17231
토,롯데,LG,사직,22990
토,삼성,SSG,대구,24000
토,두산,키움,잠실,23511
화,LG,KT,잠실,10092
